556246006.jpg, asian, 3.977329554876142, indian, 10.227483781876114, black, 0.9768320945701486, white, 20.567149452310865, middle eastern, 52.457946245915146, dominant race, middle eastern, 
563344258.jpg, asian, 0.005896939534488255, indian, 0.16026755120337316, black, 0.0014761651952921622, white, 82.14260233298555, middle eastern, 15.031292440372255, dominant race, white, 
544718527.jpg, asian, 9.872458130121231, indian, 11.057215929031372, black, 3.8505371659994125, white, 30.026239156723022, middle eastern, 16.258756816387177, dominant race, white, 
14813251.jpg, asian, 2.3908043280243874, indian, 3.209569677710533, black, 0.7416657172143459, white, 55.649662017822266, middle eastern, 20.441558957099915, dominant race, white, 
501348975.jpg, asian, 16.697407269168767, indian, 11.02311593569707, black, 39.11472429212621, white, 9.095335345904273, middle eastern, 6.126563981361864, dominant race, black, 
36908260.jpg, asian, 0.003205594457391565, indian, 0.00031071031960398337, black, 1.0173129036582059e-05, white, 99.90222455236619, middle eastern, 0.029729960900326265, dominant race, white, 
19717991.jpg, asian, 6.796761667342385, indian, 3.0798593482207477, black, 0.743272849488002, white, 49.01946473353681, middle eastern, 17.730901268828067, dominant race, white, 
48915126.jpg, asian, 1.2747078819545601e-06, indian, 1.8335297751602477e-05, black, 2.9829956950648405e-08, white, 99.46807619739033, middle eastern, 0.1287495444901016, dominant race, white, 
545442628.jpg, asian, 0.3759666346013546, indian, 0.3935567568987608, black, 0.010587906581349671, white, 81.13201260566711, middle eastern, 6.7491598427295685, dominant race, white, 
200902906.jpg, asian, 62.19783425331116, indian, 4.236992821097374, black, 1.7437368631362915, white, 13.831326365470886, middle eastern, 3.37168350815773, dominant race, asian, 
504743553.jpg, asian, 46.23229250522941, indian, 0.4716939196206427, black, 0.2837292511785923, white, 43.271736112626066, middle eastern, 3.0837623451635428, dominant race, asian, 
569478001.jpg, asian, 7.978754545945321e-07, indian, 5.736554342661293e-07, black, 1.728729464266221e-10, white, 99.9659538269043, middle eastern, 0.01831476402003318, dominant race, white, 
511978246.jpg, asian, 4.289351659378508, indian, 11.41221814824451, black, 9.796564119849451, white, 18.383465312925892, middle eastern, 33.95834469546942, dominant race, middle eastern, 
509236811.jpg, asian, 1.0060612112283707, indian, 3.2941050827503204, black, 0.265143602155149, white, 31.72818422317505, middle eastern, 7.8804053366184235, dominant race, latino hispanic, 
560540304.jpg, asian, 100.0, indian, 8.981494437065862e-08, black, 1.1121867180474351e-11, white, 5.951327874953449e-07, middle eastern, 8.739799113371624e-12, dominant race, asian, 
36811133.jpg, asian, 0.045933283399790525, indian, 0.00040649483707966283, black, 3.1210808515425015e-05, white, 99.55441355705261, middle eastern, 0.1239064964465797, dominant race, white, 
9203608.jpg, asian, 2.831704693341815, indian, 2.198650204974437, black, 0.4532134235010652, white, 43.55627221539881, middle eastern, 14.307712233985928, dominant race, white, 
526345835.jpg, asian, 0.043955287838483625, indian, 0.29344551151666115, black, 0.10026111865109913, white, 76.02087116365857, middle eastern, 11.867252699569029, dominant race, white, 
234200018.jpg, asian, 0.8020136505365372, indian, 0.16712332144379616, black, 0.023745637736283243, white, 78.62253785133362, middle eastern, 7.796832919120789, dominant race, white, 
546611723.jpg, asian, 0.0003011363560290192, indian, 4.348905520146218e-05, black, 4.1849261833704077e-07, white, 99.71715807914734, middle eastern, 0.04839496687054634, dominant race, white, 
511446354.jpg, asian, 99.94143249000729, indian, 0.00128031193923917, black, 2.372310493104158e-06, white, 0.018317012289394488, middle eastern, 5.421476018948479e-06, dominant race, asian, 
